City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Kangaba,ML,2022-07-15 19:56:24,11.9333,-8.4167,76.15,81,65,6.38
280,Umba,RU,2022-07-15 19:56:25,66.6871,34.3429,56.12,84,100,6.31
281,Vardo,NO,2022-07-15 19:56:25,70.3705,31.1107,60.78,77,0,5.75
282,Cabo San Lucas,MX,2022-07-15 19:56:26,22.8909,-109.9124,89.62,61,3,8.88
283,Hofn,IS,2022-07-15 19:56:26,64.2539,-15.2082,51.51,84,70,10.38
284,La Ronge,CA,2022-07-15 19:56:27,55.1001,-105.2842,82.62,34,20,9.22
285,Georgetown,MY,2022-07-15 19:54:43,5.4112,100.3354,83.89,93,20,0.0
286,Camana,PE,2022-07-15 19:56:27,-16.6228,-72.7111,62.92,74,29,10.83
287,Kavieng,PG,2022-07-15 19:56:28,-2.5744,150.7967,81.23,77,100,9.91
288,Willmar,US,2022-07-15 19:56:29,45.1219,-95.0433,86.18,54,0,0.0
289,Mackay,AU,2022-07-15 19:54:06,-21.15,149.2,58.68,79,2,16.58
290,Diego De Almagro,CL,2022-07-15 19:56:29,-26.3667,-70.05,49.77,58,84,12.55
291,Kropotkin,RU,2022-07-15 19:56:30,45.4375,40.5756,71.64,57,0,6.22
292,Hasaki,JP,2022-07-15 19:56:30,35.7333,140.8333,73.8,97,96,6.02
293,Batagay-Alyta,RU,2022-07-15 19:56:31,67.8006,130.4114,52.77,79,100,6.69
294,Bhachau,IN,2022-07-15 19:56:31,23.2833,70.35,82.38,82,100,12.84
